Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Längd
stöckli-laser-wrt-wrt-gw,,,,,,,,Längd,166 cm,,,,,stöckli-laser-wrt-wrt-12-gw-166,2000,shopify,97,deny,manual,21000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_145.jpg,1,166cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_145.jpg,kg,,,active,166 cm
stöckli-laser-wrt-wrt-gw,,,,,,,,Längd,172 cm,,,,,stöckli-laser-wrt-wrt-12-gw-172,2000,shopify,65,deny,manual,21000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_042.jpg,1,172cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_042.jpg,kg,,,active,172 cm
stöckli-laser-wrt-wrt-gw,,,,,,,,Längd,178 cm,,,,,stöckli-laser-wrt-wrt-12-gw-178,2000,shopify,44,deny,manual,21000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_156.png,1,178cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_156.png,kg,,,active,178 cm
stöckli-laser-sc-orea-inkl-srt12-sp,Stöckli Laser SC Orea inkl. SRT12 SP,"<p>En exklusivare och mer mångsidig pistskida är nog svår att hitta, med Stöckli Laser SC Orea kan du åka långa svängar och korta svängar, fort och långsamt. I pisten finns det finns det inga begränsningar och SC'n levererar alltid sportig och komfortabel åkning oavsett underlag. Konstruktionen är optimerad efter de olika längderna vilket medför att de kortare längderna är lite lättare och mjukare än de längre längderna och skidans dynamik bli på så sätt lättare att anpassa efter åkarens fysik. Stöckli Laser SC är byggd med en solid träkärna i en sandwich konstruktion med Phenol sidewalls för maximerad kraftöverföring, trygghet och stabilitet. Till det har man adderat dubbla lager titanal som är utskurna i en S-form i tip och tail för att mjuka upp flexen där för mjukare ingångar på sväng men samtidigt behålla kraften under foten och extra tjocka stålkanter för längre livslängd.

Orea är en lyxigare specialdesign av den vanligt Laser SC. Färgerna, det unika toppskiktet - som består av två olika ytor - och de eleganta detaljerna i bambu ger skidan ett förstklassigt utseende, tillräckligt för att höja pulsen hos alla skidfantaster.

Stöckli Laser SC Orea kommer med en förmonterad Speed Plate samt en lättjusterad och smidig SRT bindning.

Specifikationer:

Längd | Dimension | Radie
149 | 123 72 104 | 11.1
156 | 123 72 104 | 12.3
163 | 123 72 104 | 13.5
170 | 123 72 104 | 14.9
177 | 123 72 104 | 16.2

BASE BEVEL: 1.0° SIDE BEVEL: 2.0°</p>",Stöckli,Pistskidor,Skis,"Pistskidor, Unisex, Skiing, Alpine",True,Längd,163 cm,,,,,stöckli-laser-sc-orea-inkl-srt12-sp-163,2000,shopify,54,deny,manual,23500,16450.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_188.jpg,1,Stöckli Laser SC Orea inkl. SRT12 SP 163cm - Product 032,False,Stöckli Laser SC Orea inkl. SRT12 SP 163cm - Stöckli | Premium Alpine Skis,Buy Stöckli Laser SC Orea inkl. SRT12 SP by Stöckli. High-quality alpine skis perfect for pistskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,stöckli-laser-sc-orea-inkl-srt12-sp-163;170;177;156,Stöckli Skis,"Pistskidor, Unisex",new,False,Stöckli,Pistskidor,Unisex,163;170;177;156,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_188.jpg,kg,,,active,163 cm
stöckli-laser-sc-orea-inkl-srt12-sp,,,,,,,,Längd,170 cm,,,,,stöckli-laser-sc-orea-inkl-srt12-sp-170,2000,shopify,0,deny,manual,23500,16450.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_091.jpg,1,170cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_091.jpg,kg,,,active,170 cm
stöckli-laser-sc-orea-inkl-srt12-sp,,,,,,,,Längd,177 cm,,,,,stöckli-laser-sc-orea-inkl-srt12-sp-177,2000,shopify,4,deny,manual,23500,16450.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_179.jpg,1,177cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_179.jpg,kg,,,active,177 cm
stöckli-laser-sc-orea-inkl-srt12-sp,,,,,,,,Längd,156 cm,,,,,stöckli-laser-sc-orea-inkl-srt12-sp-156,2000,shopify,49,deny,manual,23500,16450.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_065.jpg,1,156cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_065.jpg,kg,,,active,156 cm
stöckli-laser-mx,Stöckli Laser MX,"<p>Som en skidmodell som är särskilt utvecklad för avancerade kvinnliga åkare, erbjuder Stöckli Laser MX + MC11 24/25 enastående hastighet, precision och manövrerbarhet. Skidan är utrustad med innovativ teknik och en lätt konstruktion, vilket förbättrar åkupplevelsen.

Den eleganta designen, som är noggrant anpassad för kvinnliga skidåkare, fokuserar både på estetik och hög prestanda, vilket gör den perfekt för utmanande förhållanden.

Med en avancerad kombination av Adaptive Contact Length (ACL), vilken maximerar kantgreppet och stabiliteten under svängar, och Softflex som erbjuder en flexkurva specifikt anpassad för kvinnor, levererar skidan en dynamisk och bekväm åkning. Solid Metal Edge Light reducerar vikten och förlänger skidlängden samtidigt som Turtle Grip och Tail Rocker ger en distinkt elegant yta och optimerat grepp vid edgning.

Prestandan är utmärkt när det gäller kontroll och smidighet, särskilt vid högre hastigheter, vilket säkerställer en jämn och responsiv åkupplevelse. Konstruktionen med lättviktsmaterial och Sandwich System Construction ger både hållbarhet och hög prestanda, medan den polyamidbelagda ytan bidrar med en slitstark och elegant finish.

Stöckli Laser MX + MC11 24/25 förkroppsligar en harmonisk balans mellan estetik och teknologiska framsteg, vilket gör den idealisk för kvinnliga skidåkare som vill pressa sina gränser och uppnå maximal njutning på snön.</p>",Stöckli,Pistskidor,Skis,"Pistskidor, dam, Skiing, Alpine",True,Längd,152 cm,,,,,stöckli-laser-mx-152,2000,shopify,23,deny,manual,17000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_076.png,1,Stöckli Laser MX 152cm - Product 033,False,Stöckli Laser MX 152cm - Stöckli | Premium Alpine Skis,Buy Stöckli Laser MX by Stöckli. High-quality alpine skis perfect for pistskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,dam,adult,stöckli-laser-mx-152;158;164,Stöckli Skis,"Pistskidor, dam",new,False,Stöckli,Pistskidor,dam,152;158;164,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_076.png,kg,,,active,152 cm
stöckli-laser-mx,,,,,,,,Längd,158 cm,,,,,stöckli-laser-mx-158,2000,shopify,38,deny,manual,17000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_133.jpg,1,158cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_133.jpg,kg,,,active,158 cm
stöckli-laser-mx,,,,,,,,Längd,164 cm,,,,,stöckli-laser-mx-164,2000,shopify,72,deny,manual,17000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_077.jpg,1,164cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_077.jpg,kg,,,active,164 cm
scott-sea,Scott Sea 108,"<p>Scott Sea 108 24/25 är skapad för avancerade skidåkare som söker utmaningar både utanför och på preparerade pister. Trots en bredd på 108 mm under foten möjliggör den smidiga och lekfulla övergångar tack vare dess dynamiska kantteknologi. Med en kärna av noggrant laminerade träslag erbjuds en perfekt balans mellan styrka och flexibilitet. Titanalförstärkningen, känd för sin vridstyvhet och hållbarhet, förstärker stabiliteten vid höga hastigheter, och glasfiberkomponenterna bidrar till justerbar flexibilitet och förbättrad torsionsstabilitet.

Med sin Rocker Camber Rocker-profil ger skidan ett effektivt grepp på hårt underlag och förenklar svängarna. Den exklusiva 3D Rocker-teknologin i spets och bakdel gör kantövergångar smidiga och maximalt lekfulla i alla terränger. Konstruktionen med sidoväggar och ett tätningslager av PU stärker hållbarheten och stabiliteten vid hög fart. För den erfarne åkaren som söker en dynamisk och robust skidupplevelse erbjuder Scott Sea 108 24/25 oöverträffad prestanda för både freeride och offpist.</p>",scott,Allmountainskidor,Skis,"Allmountainskidor, Unisex, Skiing, Alpine",True,Längd,168 cm,,,,,scott-sea-108-168,2000,shopify,23,deny,manual,8699,6089.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_034.jpg,1,Scott Sea 108 168cm - Product 034,False,Scott Sea 108 168cm - scott | Premium Alpine Skis,Buy Scott Sea 108 by scott. High-quality alpine skis perfect for allmountainskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,scott-sea-108-168;176;184;192,scott Skis,"Allmountainskidor, Unisex",new,False,scott,Allmountainskidor,Unisex,168;176;184;192,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_034.jpg,kg,,,active,168 cm
scott-sea,,,,,,,,Längd,176 cm,,,,,scott-sea-108-176,2000,shopify,2,deny,manual,8699,6089.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_003.jpg,1,176cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_003.jpg,kg,,,active,176 cm
scott-sea,,,,,,,,Längd,184 cm,,,,,scott-sea-108-184,2000,shopify,35,deny,manual,8699,6089.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_072.jpg,1,184cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_072.jpg,kg,,,active,184 cm
scott-sea,,,,,,,,Längd,192 cm,,,,,scott-sea-108-192,2000,shopify,98,deny,manual,8699,6089.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_125.jpg,1,192cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_125.jpg,kg,,,active,192 cm
scott-pure-tour,Scott Pure 100 Tour,"<p>SCOTT Pure Tour 100 är en suverän allround lösning: lekfull nog att användas varje dag, lätt nog för touring och formad för freeride. Du har allt-i-ett! Med dess kortare radie, längre rocker och ny spetsform, den har det hemliga receptet för mångsidighet. Introducerar en ny generation skidor, den har en helt ny hållbar konstruktion med hjälp av linfiber för smidig flex och poppel för pop.

Specifikationer:

170/178/186
Nos/Midja/Bak (mm) 133-100-122 -186cm
Vikt (g) 1550g 186cm
Skärningsradie SCOTT 3D 18m/186</p>",scott,turskidor,Skis,"turskidor, Unisex, Skiing, Alpine",True,Längd,170 cm,,,,,scott-pure-100-tour-170,2000,shopify,46,deny,manual,8999,5399.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_092.jpg,1,Scott Pure 100 Tour 170cm - Product 035,False,Scott Pure 100 Tour 170cm - scott | Premium Alpine Skis,Buy Scott Pure 100 Tour by scott. High-quality alpine skis perfect for turskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,scott-pure-100-tour-170;178,scott Skis,"turskidor, Unisex",new,False,scott,turskidor,Unisex,170;178,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_092.jpg,kg,,,active,170 cm
scott-pure-tour,,,,,,,,Längd,178 cm,,,,,scott-pure-100-tour-178,2000,shopify,54,deny,manual,8999,5399.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_056.png,1,178cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_056.png,kg,,,active,178 cm
scott-explorair-lt,Scott Explorair 92 LT,"<p>Scott Explorair 92 LT 24/25 utmärker sig som ett par skidor som förenar lättvikt med hög prestanda för alpina äventyr. Den aerodynamiska designen och den hållbara konstruktionen säkerställer en smidig upplevelse i backarna, vilket lockar entusiaster av vinterturism. Skidorna är optimerade för touring och garanterar tillförlitlighet i varierande snöförhållanden, vilket, tack vare det lätta materialvalet, minskar trötthet under långa dagar i bergen. Den robusta konstruktionen med förstklassiga material ger exceptionell hållbarhet utan att kompromissa med den totala vikten, vilket underlättar transport och hantering. Dessutom säkerställer designen både prestanda och komfort, vilket gör Explorair 92 LT 24/25 till ett idealiskt val för skidåkare som söker äventyr och stabilitet när de utforskar alpina miljöer.</p>",scott,turskidor,Skis,"turskidor, Unisex, Skiing, Alpine",True,Längd,163 cm,,,,,scott-explorair-92-lt-163,2000,shopify,45,deny,manual,8499,5949.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_111.jpg,1,Scott Explorair 92 LT 163cm - Product 036,False,Scott Explorair 92 LT 163cm - scott | Premium Alpine Skis,Buy Scott Explorair 92 LT by scott. High-quality alpine skis perfect for turskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,scott-explorair-92-lt-163;172;181,scott Skis,"turskidor, Unisex",new,False,scott,turskidor,Unisex,163;172;181,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_111.jpg,kg,,,active,163 cm
scott-explorair-lt,,,,,,,,Längd,172 cm,,,,,scott-explorair-92-lt-172,2000,shopify,9,deny,manual,8499,5949.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_136.jpg,1,172cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_136.jpg,kg,,,active,172 cm
scott-explorair-lt,,,,,,,,Längd,181 cm,,,,,scott-explorair-92-lt-181,2000,shopify,8,deny,manual,8499,5949.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_025.jpg,1,181cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_025.jpg,kg,,,active,181 cm
salomon-slab-qst-echo,Salomon S/LAB QST Echo,"<p>Salomon S/LAB QST Echo 25/26 är valet för topptursåkare som vill kombinera lätthet på vägen upp med kraft, kontroll och åkglädje på vägen ner.

Denna high-performance skida är utvecklad i Salomons legendariska S/LAB och bygger på QST-seriens beprövade freeride-DNA – nu med lättare material, miljösmartare konstruktion och ännu bättre balans mellan uppför och utför. Med 106 mm midja, progressiv rocker och en vridstyv kolfiberförstärkt träkärna är QST Echo redo för både långa turer, djupa puderåk och teknisk terräng.



Funktioner
106 mm midja ger en perfekt balans mellan flyt i puder och kantgrepp i hård snö
Kolfiberförstärkt karuba-kärna för låg vikt och stabil känsla i fart
Glossy top sheet – tålig och stilren finish som tål slitage från stighudar och ryggsäck
Full sidewall-konstruktion för kraftöverföring och kontroll i teknisk terräng
Hållbarare materialval med återvunnet innehåll och naturliga fibrer


Specifikationer
Typ: Touring / Freeride
Längder: 157, 165, 173, 181, 189 cm
Snöförhållanden: All mountain, puder, vårsnö, teknisk alpin terräng
Radie: 16–20 m beroende på längd
Vikt per skida: 1530 g (157 cm) till 1940 g (189 cm)
Artikelnummer: L47826200+



Salomon S/LAB QST Echo 25/26 passar avancerade skidåkare som prioriterar låg vikt på uppvägen men vägrar kompromissa med åkglädjen på nervägen!</p>",salomon,Allmountainskidor,Skis,"Allmountainskidor, Unisex, Skiing, Alpine",True,Längd,163 cm,,,,,salomon-slab-qst-echo-163,2000,shopify,0,deny,manual,8500,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_048.jpg,1,Salomon S/LAB QST Echo 163cm - Product 037,False,Salomon S/LAB QST Echo 163cm - salomon | Premium Alpine Skis,Buy Salomon S/LAB QST Echo by salomon. High-quality alpine skis perfect for allmountainskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,salomon-slab-qst-echo-173,salomon Skis,"Allmountainskidor, Unisex",new,False,salomon,Allmountainskidor,Unisex,173,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_048.jpg,kg,,,active,163 cm
salomon-slab-qst-echo,,,,,,,,Längd,170 cm,,,,,salomon-slab-qst-echo-170,2000,shopify,4,deny,manual,8500,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_119.jpg,1,170cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_119.jpg,kg,,,active,170 cm
salomon-slab-qst-echo,,,,,,,,Längd,177 cm,,,,,salomon-slab-qst-echo-177,2000,shopify,5,deny,manual,8500,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_190.jpg,1,177cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_190.jpg,kg,,,active,177 cm
salomon-slab-qst-echo,,,,,,,,Längd,184 cm,,,,,salomon-slab-qst-echo-184,2000,shopify,0,deny,manual,8500,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_176.jpg,1,184cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_176.jpg,kg,,,active,184 cm
salomon-slab-qst-blank,Salomon S/LAB QST Blank,"<p>Salomon S/LAB QST Blank 25/26 är valet för skidåkare som vill pusha sina gränser och dominera hela berget med stabilitet, kontroll och lekfullhet.

Den nya generationen av freeride-legenden är här! S/LAB QST Blank, utvecklad tillsammans med unga atleter i Mountain Collective, tar hårdåkningsprestanda till en ny nivå. Med sin moderna form och mångsidiga 112 mm midja erbjuder denna skida oslagbar stabilitet och respons i alla typer av terräng.



Funktioner


112 mm midja för maximal stabilitet och kontroll i hög hastighet

Perfekt för pist och hårdare underlag med starkt kantgrepp och stöd i tailen

Lång rocker och korkdämpning i tip och tail ger smidig och stabil åkning i puder

Kort svängradie för snabba kantbyten och smidig manövrering

Byggd för att hantera hopp, klippor och tight skogsåkning med lekfullhet



Specifikationer


Typ: Freeride

Längder: 170, 178, 186, 192 cm

Snöförhållanden: Uppkörd snö, puder</p>",salomon,Offpistskidor,Skis,"Offpistskidor, Unisex, Skiing, Alpine",True,Längd,178 cm,,,,,salomon-slab-qst-blank-178,2000,shopify,12,deny,manual,9000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_116.jpg,1,Salomon S/LAB QST Blank 178cm - Product 038,False,Salomon S/LAB QST Blank 178cm - salomon | Premium Alpine Skis,Buy Salomon S/LAB QST Blank by salomon. High-quality alpine skis perfect for offpistskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,salomon-slab-qst-blank-178;186;192,salomon Skis,"Offpistskidor, Unisex",new,False,salomon,Offpistskidor,Unisex,178;186;192,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_116.jpg,kg,,,active,178 cm
salomon-slab-qst-blank,,,,,,,,Längd,186 cm,,,,,salomon-slab-qst-blank-186,2000,shopify,73,deny,manual,9000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_137.jpg,1,186cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_137.jpg,kg,,,active,186 cm
salomon-slab-qst-blank,,,,,,,,Längd,192 cm,,,,,salomon-slab-qst-blank-192,2000,shopify,86,deny,manual,9000,,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_163.jpg,1,192cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_163.jpg,kg,,,active,192 cm
salomon-qst-x,Salomon QST X,"<p>Salomons nya puderskida heter QST X och mäter 116 mm under foten. Ett par lagg som är precis lika sugna som du på puder. QST X släpps i ett fåtal exemplar redan nu. Äntligen ett X att älska,

Franska Salomon senaste nyhet är ytterligare en modell till QST-linjen med freerideskidor. Den nya, feta skidan heter Salomon QST X och släpps i begränsad upplaga nu, men kommer att vara en del av det ordinarie sortimentet till nästa vinter 2024/2025.

Kort sagt, QST X är 116 mm bred under pjäxan och en puderorienterad skida. QST X är byggd för att funka fint ihop med en Shift-bindning och turande, men är inte riktigt lika turorienterad som exempelvis denna vinterns nyhet QST Echo 106. QST X blandar designelement från Salomons nämnda lättare QST Echo 106 och deras tyngre, köttigare skida QST Blank, och lägger sedan till sina egna unika element.

Från QST Echo 106 ärver QST X en lätt kärna av poppel- och karubaträ, samt en återvunnen färglad ABS-sidovägg. Från QST Blank och QST 106 lånar QST X skidan korkdämpning i tip och tail, såväl som Salomons ""Double Sidewall""-konstruktion under foten.

Jämfört med den 112 mm breda QST Blanken har QST X både mer rocker och längre radie; 25 meter istället för Blanks 17 meter. Salomon-atleten Cody Townsend har varit en stor del i utvecklingen av denna nya skida.

QST X är också lättare än sitt smalare syskon Blank. QST X väger in på 1900 gram per skida, jämfört med Blanks 2220 gram. Detta gör QST X lätt för sin storlek och därmed ett fint val för sidecountry och kortare turer.

Sammanfattningsvis är QST X en puderorienterad skida som är lätt för sin storlek, rejält rolig rockerprofil och ett belag som får dig att tänka på tie dye, krönt av en logo som påminner om det vi alla behöver alltid: peace.</p>",salomon,Offpistskidor,Skis,"Offpistskidor, Unisex, Skiing, Alpine",True,Längd,176 cm,,,,,salomon-qst-x-176,2000,shopify,48,deny,manual,10100,7070.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_078.jpg,1,Salomon QST X 176cm - Product 039,False,Salomon QST X 176cm - salomon | Premium Alpine Skis,Buy Salomon QST X by salomon. High-quality alpine skis perfect for offpistskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,salomon-qst-x-176;178;184;192,salomon Skis,"Offpistskidor, Unisex",new,False,salomon,Offpistskidor,Unisex,176;178;184;192,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_078.jpg,kg,,,active,176 cm
salomon-qst-x,,,,,,,,Längd,178 cm,,,,,salomon-qst-x-178,2000,shopify,63,deny,manual,10100,7070.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_110.jpg,1,178cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_110.jpg,kg,,,active,178 cm
salomon-qst-x,,,,,,,,Längd,184 cm,,,,,salomon-qst-x-184,2000,shopify,0,deny,manual,10100,7070.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_027.jpg,1,184cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_027.jpg,kg,,,active,184 cm
salomon-qst-x,,,,,,,,Längd,192 cm,,,,,salomon-qst-x-192,2000,shopify,76,deny,manual,10100,7070.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_174.jpg,1,192cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_174.jpg,kg,,,active,192 cm
salomon-qst-stella,Salomon QST Stella 106,"<p>En av våra absoluta favoriter efter vårens skidtester är definitivt den senaste versionen av Salomon QST Stella 106 som med sin eleganta och direktionella stil balanserar åkarens krav på både praktisk och rolig åkning fantastiskt fint. Den stora skillnaden till den här säsongen är en mer avsmalnande skärning där de bredaste punkterna sitter närmare mitten på skidan samt en längre rocker i både tip och tail vilket ger mer lekfullhet och smidighet. Med ett par Salomon QST Stella 106 tar du dig fram överallt och konstruktionen med en kolfiber och linförstärkt poppelkärna samt dubbla sidewalls ger maximalt med kantgrepp, kraft och stabilitet i förhållande till den låga vikten och manövrerbarheten.</p>",salomon,Allmountainskidor,Skis,"Allmountainskidor, dam, Skiing, Alpine",True,Längd,157 cm,,,,,salomon-qst-stella-106-157,2000,shopify,89,deny,manual,8600,6020.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_134.jpg,1,Salomon QST Stella 106 157cm - Product 040,False,Salomon QST Stella 106 157cm - salomon | Premium Alpine Skis,Buy Salomon QST Stella 106 by salomon. High-quality alpine skis perfect for allmountainskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,dam,adult,salomon-qst-stella-106-157;165;173,salomon Skis,"Allmountainskidor, dam",new,False,salomon,Allmountainskidor,dam,157;165;173,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_134.jpg,kg,,,active,157 cm
salomon-qst-stella,,,,,,,,Längd,165 cm,,,,,salomon-qst-stella-106-165,2000,shopify,16,deny,manual,8600,6020.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_005.png,1,165cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_005.png,kg,,,active,165 cm
salomon-qst-stella,,,,,,,,Längd,173 cm,,,,,salomon-qst-stella-106-173,2000,shopify,6,deny,manual,8600,6020.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_171.jpg,1,173cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_171.jpg,kg,,,active,173 cm
salomon-qst-lux,Salomon QST Lux 92,<p>Allround favoritskida med fina egenskaper över hela berget som fått en fräsch uppdatering i form av ny tightare shape och en längre rockerprofil. Salomon QST Lux 92 passar till det mesta och är verkligen en modern allmountain/freeride skida för de som både vill åka preparerade pister och knädjup puder. Nyckeln till dess mångsidighet heter C/FX och är en väv av kolfiber och lin som löper längs hela skidans längd och kombinerar den lätta och livliga poppelkärnan perfekt med stötdämpning och kraft. Den 92 mm breda midjan på Salomon QST Lux 92 har också en dubbel sidewall under foten som ger ökat kantgrepp och maximal kraftöverföring.</p>,salomon,Allmountainskidor,Skis,"Allmountainskidor, Dam, Skiing, Alpine",True,Längd,152 cm,,,,,salomon-qst-lux-92-152,2000,shopify,0,deny,manual,6300,4410.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_173.jpg,1,Salomon QST Lux 92 152cm - Product 041,False,Salomon QST Lux 92 152cm - salomon | Premium Alpine Skis,Buy Salomon QST Lux 92 by salomon. High-quality alpine skis perfect for allmountainskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,dam,adult,salomon-qst-lux-92-152;160;168,salomon Skis,"Allmountainskidor, Dam",new,False,salomon,Allmountainskidor,Dam,152;160;168,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_173.jpg,kg,,,active,152 cm
salomon-qst-lux,,,,,,,,Längd,160 cm,,,,,salomon-qst-lux-92-160,2000,shopify,17,deny,manual,6300,4410.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_080.jpg,1,160cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_080.jpg,kg,,,active,160 cm
